session,task_environment,row_count,epoch_count,epoch_duration_sec_mean,epoch_duration_sec_std,epoch_duration_sec_q50,mean_speed_mean,mean_speed_std,mean_speed_q50,std_speed_mean,std_speed_std,std_speed_q50,max_speed_mean,max_speed_std,max_speed_q50,mean_accel_mean,mean_accel_std,mean_accel_q50,std_accel_mean,std_accel_std,std_accel_q50,mean_abs_accel_mean,mean_abs_accel_std,mean_abs_accel_q50,max_abs_accel_mean,max_abs_accel_std,max_abs_accel_q50,speed_q25_mean,speed_q25_std,speed_q25_q50,speed_q50_mean,speed_q50_std,speed_q50_q50,speed_q75_mean,speed_q75_std,speed_q75_q50,moving_fraction_mean,moving_fraction_std,moving_fraction_q50,fast_fraction_mean,fast_fraction_std,fast_fraction_q50,path_length_mean,path_length_std,path_length_q50,step_length_mean_mean,step_length_mean_std,step_length_mean_q50,step_length_max_mean,step_length_max_std,step_length_max_q50,x_range_mean,x_range_std,x_range_q50,y_range_mean,y_range_std,y_range_q50,rawpos_rows_mean,rawpos_rows_std,rawpos_rows_q50,spike_tetrode_count_mean,spike_tetrode_count_std,spike_tetrode_count_q50,spike_cell_count_mean,spike_cell_count_std,spike_cell_count_q50,spike_event_rows_epoch_mean,spike_event_rows_epoch_std,spike_event_rows_epoch_q50,num_spikes_mean,num_spikes_std,num_spikes_q50,firing_rate_hz_mean,firing_rate_hz_std,firing_rate_hz_q50,log_firing_rate_hz_mean,log_firing_rate_hz_std,log_firing_rate_hz_q50
7,TrackA,62,1,947.9389999999986,7.958078640513122e-13,947.9389999999994,8.472853311600815,1.2434497875801753e-14,8.472853311600803,12.950009597699582,1.5987211554602254e-14,12.950009597699566,57.69561461000571,9.237055564881302e-14,57.695614610005805,-0.03740956884450376,3.469446951953614e-17,-0.0374095688445038,17.110953647983358,7.105427357601002e-15,17.11095364798335,9.60320830629109,1.0658141036401503e-14,9.60320830629108,82.9908896714357,2.842170943040401e-14,82.99088967143572,0.4526483093568804,5.551115123125783e-16,0.45264830935687983,1.2038226461658266,6.661338147750939e-16,1.203822646165826,11.649313858408012,7.105427357601002e-15,11.649313858408005,0.9990848614973085,1.1102230246251565e-15,0.9990848614973074,0.33916440815177257,3.885780586188048e-16,0.3391644081517722,13009.524673950971,7.275957614183426e-12,13009.524673950964,0.4579206150633926,7.216449660063518e-16,0.4579206150633919,4.148795005781801,5.329070518200751e-15,4.148795005781795,99.44999999999989,1.2789769243681803e-13,99.45000000000002,107.1000000000001,8.526512829121202e-14,107.10000000000001,28411.0,0.0,28411.0,16.0,0.0,16.0,62.0,0.0,62.0,65481.0,0.0,65481.0,1056.1451612903227,4224.50091286523,85.5,1.1141488653703697,4.456511350271731,0.0901956771480022,0.3389619660489415,0.6011260895569978,0.08635614707279923
7,TrackB,121,2,917.4537785123977,0.5168323489233528,916.9412000000002,7.932839318284845,2.267090300619167,10.181270122163635,12.245223918609014,1.53343742295599,13.76604024279917,56.47064721263097,0.17001485705778538,56.63926274665785,-0.009268047126657337,0.01140706546580339,0.0020451314300898383,15.257803933752218,2.083573395694851,17.324228285593463,8.646942890421203,1.8898191501736226,10.52120770900825,80.07185311644123,2.3184804006375503,82.37125104935949,0.4532869117305645,0.19691004419652097,0.6485762695667631,1.4039858939336107,0.598607373407227,1.9976663738995777,11.05247555926866,7.056030856885112,18.050431100522047,0.9957105176125602,0.004325080362030496,1.0,0.3080580989481907,0.08087581500871005,0.38826825806921145,11526.71928741596,2400.7763308322114,13907.73580625155,0.4192673696211854,0.08755720111428275,0.5061039230804786,3.691356494328821,0.1782109216709443,3.5146123541579857,100.78512396694218,1.7999385277393367,99.0,100.10454545454532,2.4749154756415894,97.65,27496.867768595042,15.999453579905245,27481.0,16.0,0.0,16.0,60.50413223140496,0.4999829243720386,61.0,70094.9173553719,3740.8722401515965,73805.0,1158.0826446280992,4284.482002089368,266.0,1.2623114994270601,4.670291282047454,0.2900949373852979,0.3982713091938077,0.6158497486698464,0.25471581053793496
8,TrackA,69,1,921.9792999999992,7.958078640513122e-13,921.9793,7.713697699455854,4.440892098500626e-15,7.713697699455858,12.803865331450536,3.552713678800501e-15,12.803865331450533,55.884140122504924,7.105427357601002e-14,55.88414012250485,-0.01542290698033291,2.2551405187698492e-17,-0.015422906980332933,15.411822938954378,1.7763568394002505e-14,15.41182293895436,8.073235527699252,1.4210854715202004e-14,8.073235527699266,77.23512997431945,1.2789769243681803e-13,77.23512997431932,0.3548868828520853,5.551115123125783e-17,0.35488688285208536,0.8669337638451678,4.440892098500626e-16,0.8669337638451674,9.267713916325805,5.329070518200751e-15,9.26771391632581,1.0,0.0,1.0,0.2824883291716421,4.996003610813204e-16,0.2824883291716426,11450.959215903573,9.094947017729282e-12,11450.959215903582,0.4144093520520978,5.551115123125783e-16,0.41440935205209833,3.6280159867343396,8.881784197001252e-16,3.6280159867343387,93.6000000000001,7.105427357601002e-14,93.60000000000002,107.55000000000011,9.947598300641403e-14,107.55000000000001,27633.0,0.0,27633.0,14.0,0.0,14.0,69.0,0.0,69.0,62215.0,0.0,62215.0,901.6666666666666,3691.126286880535,57.0,0.9779684496893443,4.003480649598678,0.06182351382509347,0.30052941946032485,0.5826182587824353,0.05998772617095408
8,TrackB,138,2,923.4637499999982,4.487449999999856,923.4637500000001,9.752529044612071,0.08293227315650573,9.752529044612054,13.282806131904744,0.10507455834261333,13.28280613190473,54.9962656879836,1.0482912406401423,54.99626568798344,-0.022396435408109983,0.008963483346045463,-0.022396435408109972,16.798746127552104,0.04481188643640974,16.798746127552082,9.967414484878702,0.1028184016379735,9.96741448487872,197.47885100916395,114.20690557609063,197.47885100916466,0.5631160580999446,0.057121152806253954,0.5631160580999451,1.767344228903355,0.1764017913419165,1.767344228903358,16.55084428089249,0.13268603945944688,16.550844280892495,1.0,0.0,1.0,0.3902217962021697,0.006204078451743671,0.39022179620217023,13537.825204359757,262.40980150058226,13537.82520435972,0.4891195267272722,0.007113303400748912,0.48911952672727343,3.888405496258076,0.260389509523748,3.888405496258067,102.59999999999994,1.3499999999999919,102.6,105.29999999999976,0.9000000000000052,105.30000000000001,27677.0,134.0,27677.0,14.0,0.0,14.0,69.0,0.0,69.0,70646.0,1612.0,70646.0,1023.8550724637681,4378.511563902497,47.0,1.108614952141037,4.7398552915880225,0.05064921517424623,0.3026101868956078,0.6043643752016123,0.04940827326658771
9,TrackA,61,1,921.9458999999994,1.2505552149377763e-12,921.9459000000006,7.846310807235385,7.105427357601002e-15,7.846310807235378,12.71231840356173,1.9539925233402755e-14,12.71231840356171,58.334297215919506,4.973799150320701e-14,58.334297215919555,-0.0012191088336943683,6.505213034913027e-19,-0.0012191088336943677,16.23815051909309,1.4210854715202004e-14,16.238150519093075,8.77097751578054,3.552713678800501e-15,8.770977515780537,220.22681831206197,3.126388037344441e-13,220.22681831206228,0.37930606238013076,3.3306690738754696e-16,0.3793060623801304,1.0272093908253925,8.881784197001252e-16,1.0272093908253934,10.043825686604054,1.7763568394002505e-15,10.043825686604055,0.9998914262965503,6.661338147750939e-16,0.9998914262965509,0.31692664036770307,1.1102230246251565e-16,0.31692664036770296,11596.625090321571,1.2732925824820995e-11,11596.625090321584,0.4197113677278888,6.106226635438361e-16,0.4197113677278894,3.8183766184073638,3.1086244689504383e-15,3.8183766184073606,98.55000000000011,9.947598300641403e-14,98.55000000000001,103.94999999999989,9.947598300641403e-14,103.94999999999999,27632.0,0.0,27632.0,14.0,0.0,14.0,61.0,0.0,61.0,45013.0,0.0,45013.0,737.9180327868852,3783.906387671136,37.0,0.8003919023739733,4.1042607680896825,0.04013250669046847,0.24793163656733935,0.5089074185181673,0.039348115316577635
9,TrackB,121,2,918.9998214876047,0.9834093209829176,919.9434000000001,10.32743157377455,0.4039374901311866,10.715008473755793,14.195262996066782,0.11475152858371011,14.305366769059297,57.68664029060135,0.5079954734754064,58.17406053661545,-0.025719634929437754,0.0036618143077829573,-0.029233135588306085,18.0545836178735,0.11847192348675209,18.16825709944337,10.709132116176635,0.36814332033596336,11.062364609645549,328.08074155672864,261.7407164729189,76.94125099718626,0.6535150329898072,0.06695966153159248,0.7177626422715796,1.9205915436434902,0.32474826096593656,2.2321865981619653,18.07657396939543,0.7883592726077912,18.83300250206165,1.0,0.0,1.0,0.37613211929218276,0.018872816045460157,0.3942405338749456,13901.808752992249,550.2640701757847,14429.785600153738,0.5047238887118985,0.019431370502479114,0.5233682347449762,3.628015986734353,4.884981308350689e-15,3.6280159867343578,99.07438016528953,1.7984625631387314,100.79999999999998,100.978512396694,1.1240391019617078,99.9,27543.760330578512,30.47394898651742,27573.0,13.520661157024794,0.4995729342052032,14.0,60.603305785123965,2.497864671026021,63.0,47742.02479338843,1801.9595736781687,49471.0,787.8925619834711,3681.101905189662,29.0,0.8573411972686766,4.005460344292735,0.03159127771358454,0.27932761687575686,0.5331585923501823,0.031102539884213583
10,TrackA,58,1,918.9768000000017,1.3642420526593924e-12,918.9768000000004,7.606809176563315,7.105427357601002e-15,7.606809176563308,12.985556920075707,3.552713678800501e-15,12.985556920075704,57.754797567814286,5.684341886080802e-14,57.75479756781423,-0.03599463478771671,2.0816681711721685e-17,-0.03599463478771673,16.174367909121194,1.7763568394002505e-14,16.174367909121177,7.926640614134965,6.217248937900877e-15,7.926640614134971,726.2257887732842,5.684341886080801e-13,726.2257887732836,0.3000283985323549,5.551115123125783e-17,0.30002839853235497,0.8310998267195735,8.881784197001252e-16,0.8310998267195744,7.720625946415094,1.0658141036401503e-14,7.720625946415083,0.9986929053808723,5.551115123125783e-16,0.9986929053808729,0.27321908358143954,2.7755575615628914e-16,0.27321908358143926,10984.302568645055,1.0913936421275139e-11,10984.302568645044,0.3988345582457077,3.3306690738754696e-16,0.398834558245708,5.492950027080157,4.440892098500626e-15,5.492950027080162,92.6999999999999,8.526512829121202e-14,92.69999999999999,106.64999999999992,8.526512829121202e-14,106.65,27542.0,0.0,27542.0,14.0,0.0,14.0,58.0,0.0,58.0,39415.0,0.0,39415.0,679.5689655172414,3432.3411036988014,29.5,0.7394843542483784,3.734959471989719,0.03210091919621909,0.23543313728663698,0.4959063158809953,0.03158964363148188
10,TrackB,119,2,920.8210470588206,0.8511699450947693,919.9769999999999,10.071818134091627,0.02523557528622639,10.046793738880309,14.361748549917152,0.015206442439552752,14.346669360279122,58.535013619098294,1.6619481209395564,60.183053979875375,-0.021611808451892013,0.0007737735058897756,-0.022379106751844548,17.565003762339632,0.09731304425993813,17.661502457184486,10.307167822029152,0.1271541011409764,10.433257853407605,84.21492906107596,1.375587317875842,82.85085313652151,0.6401736008592721,0.018706967675325505,0.6587240221198687,1.6580952250577192,0.07844614932031405,1.7358849097046234,16.401304233340614,0.36888894608820727,16.035502278310744,1.0,0.0,1.0,0.3567703811650393,0.0012716681327398173,0.35803140753635804,13585.97337402799,60.3087028689307,13645.777392686517,0.49229626550462696,0.0026401394562321945,0.4949143113552342,3.7971220808826303,0.2801455870301166,4.074923312161823,100.1155462184874,1.1249602775276615,99.0,105.97689075630247,0.2249920555055405,106.20000000000002,27602.252100840335,29.498958388503116,27573.0,14.0,0.0,14.0,59.50420168067227,0.49998234556784976,60.0,40874.67226890756,1228.9566054057736,39656.0,687.1428571428571,3382.59735190845,28.0,0.746202549702517,3.6734760554473764,0.030379327128283437,0.2340297056357787,0.5106232293267547,0.02992701320888883
11,TrackA,60,1,916.974900000001,7.958078640513122e-13,916.9749000000002,8.370165892381511,8.881784197001252e-15,8.370165892381502,13.547188569721845,1.2434497875801753e-14,13.547188569721857,60.7428898005278,0.0,60.7428898005278,-0.03246507459197102,2.0816681711721685e-17,-0.03246507459197104,17.011482080720523,2.1316282072803006e-14,17.011482080720544,9.122448908026241,7.105427357601002e-15,9.122448908026248,88.72577400368904,5.684341886080802e-14,88.72577400368898,0.3960165100551312,3.885780586188048e-16,0.3960165100551316,1.2326666245724156,1.3322676295501878e-15,1.2326666245724143,9.437486164371016,5.329070518200751e-15,9.43748616437101,1.0,0.0,1.0,0.3098642797365644,5.551115123125783e-17,0.30986427973656444,12139.331644482594,3.637978807091713e-12,12139.331644482598,0.44171936702141706,4.996003610813204e-16,0.44171936702141756,3.6280159867343604,2.6645352591003757e-15,3.6280159867343578,101.69999999999989,1.1368683772161603e-13,101.7,105.75,0.0,105.75,27483.0,0.0,27483.0,14.0,0.0,14.0,60.0,0.0,60.0,45142.0,0.0,45142.0,752.3666666666667,3884.240745056305,30.0,0.8204877436303508,4.23592918961719,0.032716271732192444,0.24004894432273258,0.5245802043429664,0.032187469983862585
11,TrackB,122,2,925.4659713114766,0.500580725786889,925.9503999999997,11.010614102795662,0.48175382842014264,10.54440483170084,15.38635492733561,0.13012577546467807,15.260427868013624,61.565342187479864,0.6846830191594124,62.22793281460594,-0.01843625197712406,0.0075676305817900386,-0.025759700861840217,18.950390637867073,0.5494323318219646,18.41868661846224,11.059132823420873,0.5216272518417363,10.554336708646186,105.60398279683513,23.921320662458744,82.45452178218525,0.6274187472044782,0.0946700984075528,0.5358033308458774,1.8431172290791673,0.3075960063041227,1.5454462995901257,19.31415804831595,1.1241734100230907,18.22625789028342,1.0,0.0,1.0,0.3675090829971209,0.023015330049594173,0.34523637936004614,14674.276147026905,625.6920319910727,14068.773068575005,0.5290822712435508,0.022855186065033055,0.5069645442893952,3.9378148203824255,0.09001191751382,4.024922359499621,98.79713114754121,0.6746370967479746,99.45000000000002,97.21475409836047,0.44975806449864486,97.65,27737.008196721312,15.491666666064306,27752.0,13.0,0.0,13.0,61.0655737704918,1.998924731105072,63.0,42579.483606557376,1097.9094085594606,41517.0,698.6147540983607,3485.908488605209,29.5,0.7549030681283221,3.766915629986422,0.03185915789873843,0.24243694103156724,0.5030493244888655,0.03136204591302312
12,TrackA,50,1,909.9677000000007,5.684341886080801e-13,909.9677000000001,8.72402019998634,1.7763568394002505e-15,8.724020199986338,14.970001545261692,1.5987211554602254e-14,14.970001545261708,64.76815000072294,4.263256414560601e-14,64.76815000072298,-0.017736929584882464,6.938893903907228e-18,-0.017736929584882457,18.787802184193737,2.1316282072803006e-14,18.787802184193716,9.470364800977237,7.105427357601002e-15,9.470364800977244,98.08397923900786,8.526512829121202e-14,98.08397923900777,0.3217371692604834,1.6653345369377348e-16,0.32173716926048324,0.9762463174136685,3.3306690738754696e-16,0.9762463174136689,8.207546079447296,1.7763568394002505e-15,8.207546079447294,0.9913467531991338,8.881784197001252e-16,0.9913467531991347,0.2840904924284087,3.3306690738754696e-16,0.28409049242840906,12778.180580025199,7.275957614183426e-12,12778.180580025206,0.4685457824884576,3.3306690738754696e-16,0.46854578248845724,4.148795005781806,8.881784197001252e-16,4.148795005781805,99.0,0.0,99.0,106.1999999999999,1.1368683772161603e-13,106.20000000000002,27273.0,0.0,27273.0,12.0,0.0,12.0,50.0,0.0,50.0,39386.0,0.0,39386.0,787.72,4117.372832474611,30.5,0.8656570996970552,4.524746133818389,0.03351767320971942,0.22697581973061504,0.5360706229471652,0.032966928405400026
12,TrackB,101,2,918.4842396039621,2.5187765335879435,920.9782,9.53066616068617,0.0683685470820321,9.462971211775999,15.767873890203573,0.01510257842416751,15.78282767112285,66.26816334944564,1.2053598560598169,67.46164744932601,-0.020041584834453677,0.011088341921702084,-0.009062490324995133,19.56581889609742,0.3573474991554709,19.9196456443751,10.347950661898615,0.08225654082974182,10.42939677369497,93.63001783468616,2.955771314989722,96.55666753982422,0.3805319458195432,0.030494706568240326,0.41072620460188086,0.9972499361180966,0.01494949119149811,1.0120521380901082,10.800600774137585,0.29248447249628723,10.51099799233659,0.9981901992965443,0.0016116281157341561,0.9965944496775596,0.2985683526583117,0.006625807623274844,0.29200782551988985,13208.384847114865,3.98236651916439,13204.441716690699,0.47984223748442206,0.0014520761683030558,0.47840446783416174,5.602366504456764,1.740248487218324,7.325469268244869,96.97277227722778,0.22498897139914928,96.75,100.5460396039604,2.924856628189031,97.64999999999999,27527.742574257427,74.99632379971837,27602.0,12.0,0.0,12.0,50.504950495049506,0.4999754919981229,51.0,36399.86138613861,591.9709825257765,36986.0,720.6732673267327,3619.881386134275,33.0,0.7846254456919823,3.9406208399638425,0.036028545088741565,0.23848374021084284,0.5018654421948986,0.03539469663217055
